#TYPE Selected.VMware.VimAutomation.ViCore.Impl.V1.Host.Networking.Nic.PhysicalNicImpl
"VMHost","Name","IP","SubnetMask","Mac","PortGroupName","vMotionEnabled","mtu","FullDuplex","BitRatePerSec"
"lo1upvcdesx011m.dcsutil.dcsroot.local","vmk2","172.20.84.111","255.255.255.0","00:50:56:68:65:b8","dvPortGroup-vMotion","True","1500",,
"lo1upvcdesx011m.dcsutil.dcsroot.local","vmk3","172.20.85.111","255.255.255.0","00:50:56:65:a0:fa","dvPortGroup-Fault-Tolerance","False","1500",,
"lo1upvcdesx011m.dcsutil.dcsroot.local","vmk5","169.254.1.1","255.255.255.0","00:50:56:69:65:dd","vmservice-vmknic-pg","False","1500",,
"lo1upvcdesx011m.dcsutil.dcsroot.local","vmk4","172.20.114.111","255.255.255.0","00:50:56:6c:6e:bc","vxw-vmknicPg-dvs-56-0-f120948f-8a58-4d6d-83a9-478c4418a3d9","False","9000",,
"lo1upvcdesx012m.dcsutil.dcsroot.local","vmnic0","","","00:25:b5:14:a0:8f",,,,"True","40000"
"lo1upvcdesx012m.dcsutil.dcsroot.local","vmnic1","","","00:25:b5:14:b0:cf",,,,"True","40000"
"lo1upvcdesx012m.dcsutil.dcsroot.local","vmnic2","","","00:25:b5:14:a0:9f",,,,"True","40000"
"lo1upvcdesx012m.dcsutil.dcsroot.local","vmnic3","","","00:25:b5:14:b0:af",,,,"True","40000"
"lo1upvcdesx012m.dcsutil.dcsroot.local","vmnic4","","","00:25:b5:14:a0:de",,,,"True","40000"
"lo1upvcdesx012m.dcsutil.dcsroot.local","vmnic5","","","00:25:b5:14:b0:9e",,,,"True","40000"
"lo1upvcdesx012m.dcsutil.dcsroot.local","vmnic6","","","00:25:b5:14:a0:af",,,,"True","40000"
"lo1upvcdesx012m.dcsutil.dcsroot.local","vmnic7","","","00:25:b5:14:b0:bf",,,,"True","40000"
"lo1upvcdesx012m.dcsutil.dcsroot.local","vmnic8","","","00:25:b5:14:a0:fe",,,,"True","40000"
"lo1upvcdesx012m.dcsutil.dcsroot.local","vmk0","10.162.36.112","255.255.255.0","00:25:b5:14:a0:8f","Management Network","False","1500",,
"lo1upvcdesx012m.dcsutil.dcsroot.local","vmk2","172.20.84.112","255.255.255.0","00:50:56:66:e2:67","dvPortGroup-vMotion","True","1500",,
"lo1upvcdesx012m.dcsutil.dcsroot.local","vmk3","172.20.85.112","255.255.255.0","00:50:56:65:3f:36","dvPortGroup-Fault-Tolerance","False","1500",,
"lo1upvcdesx012m.dcsutil.dcsroot.local","vmk5","169.254.1.1","255.255.255.0","00:50:56:6c:b5:d0","vmservice-vmknic-pg","False","1500",,
"lo1upvcdesx012m.dcsutil.dcsroot.local","vmk4","172.20.114.112","255.255.255.0","00:50:56:66:22:4e","vxw-vmknicPg-dvs-56-0-f120948f-8a58-4d6d-83a9-478c4418a3d9","False","9000",,
"lo1upvcdesx013m.dcsutil.dcsroot.local","vmnic0","","","00:25:b5:14:a0:be",,,,"True","40000"
"lo1upvcdesx013m.dcsutil.dcsroot.local","vmnic1","","","00:25:b5:14:b0:de",,,,"True","40000"
"lo1upvcdesx013m.dcsutil.dcsroot.local","vmnic2","","","00:25:b5:14:a0:ce",,,,"True","40000"
"lo1upvcdesx013m.dcsutil.dcsroot.local","vmnic3","","","00:25:b5:14:b0:ee",,,,"True","40000"
"lo1upvcdesx013m.dcsutil.dcsroot.local","vmnic4","","","00:25:b5:14:a0:8e",,,,"True","40000"
"lo1upvcdesx013m.dcsutil.dcsroot.local","vmnic5","","","00:25:b5:14:b0:ce",,,,"True","40000"
"lo1upvcdesx013m.dcsutil.dcsroot.local","vmnic6","","","00:25:b5:14:a0:ee",,,,"True","40000"
"lo1upvcdesx013m.dcsutil.dcsroot.local","vmnic7","","","00:25:b5:14:b0:fe",,,,"True","40000"
"lo1upvcdesx013m.dcsutil.dcsroot.local","vmnic8","","","00:25:b5:14:a0:ae",,,,"True","40000"
"lo1upvcdesx013m.dcsutil.dcsroot.local","vmk0","10.162.36.113","255.255.255.0","00:25:b5:14:a0:be","Management Network","False","1500",,
"lo1upvcdesx013m.dcsutil.dcsroot.local","vmk2","172.20.84.113","255.255.255.0","00:50:56:64:3b:16","dvPortGroup-vMotion","True","1500",,
"lo1upvcdesx013m.dcsutil.dcsroot.local","vmk3","172.20.85.113","255.255.255.0","00:50:56:6f:91:77","dvPortGroup-Fault-Tolerance","False","1500",,
"lo1upvcdesx013m.dcsutil.dcsroot.local","vmk5","169.254.1.1","255.255.255.0","00:50:56:6a:4a:ca","vmservice-vmknic-pg","False","1500",,
