#TYPE Selected.VMware.VimAutomation.ViCore.Impl.V1.Host.Networking.Nic.PhysicalNicImpl
"VMHost","Name","IP","SubnetMask","Mac","PortGroupName","vMotionEnabled","mtu","FullDuplex","BitRatePerSec"
"nj2upvcdesx020m.dcsutil.dcsroot.local","vmk4","172.20.99.39","255.255.255.0","00:50:56:65:d9:b1","vxw-vmknicPg-dvs-49-0-a2d5920e-ae32-45ca-b11b-25e42383b38e","False","9000",,
"nj2upvcdesx012m.dcsutil.dcsroot.local","vmnic0","","","00:25:b5:05:a0:8a",,,,"True","10000"
"nj2upvcdesx012m.dcsutil.dcsroot.local","vmnic1","","","00:25:b5:05:b0:ea",,,,"True","10000"
"nj2upvcdesx012m.dcsutil.dcsroot.local","vmnic2","","","00:25:b5:05:a0:9a",,,,"True","10000"
"nj2upvcdesx012m.dcsutil.dcsroot.local","vmnic3","","","00:25:b5:05:b0:ba",,,,"True","10000"
"nj2upvcdesx012m.dcsutil.dcsroot.local","vmnic4","","","00:25:b5:05:a0:f9",,,,"True","10000"
"nj2upvcdesx012m.dcsutil.dcsroot.local","vmnic5","","","00:25:b5:05:b0:ca",,,,"True","10000"
"nj2upvcdesx012m.dcsutil.dcsroot.local","vmnic6","","","00:25:b5:05:a0:ca",,,,"True","10000"
"nj2upvcdesx012m.dcsutil.dcsroot.local","vmnic7","","","00:25:b5:05:b0:fa",,,,"True","10000"
"nj2upvcdesx012m.dcsutil.dcsroot.local","vmnic8","","","00:25:b5:05:a0:aa",,,,"True","10000"
"nj2upvcdesx012m.dcsutil.dcsroot.local","vmk0","10.160.19.54","255.255.255.0","00:25:b5:05:a0:8a","Management Network","False","1500",,
"nj2upvcdesx012m.dcsutil.dcsroot.local","vmk2","172.20.66.106","255.255.255.0","00:50:56:64:b0:fb","dvPortGroup-vMotion","True","1500",,
"nj2upvcdesx012m.dcsutil.dcsroot.local","vmk3","172.20.67.52","255.255.255.0","00:50:56:6e:cf:57","dvPortGroup-Fault-Tolerance","False","1500",,
"nj2upvcdesx012m.dcsutil.dcsroot.local","vmk5","169.254.1.1","255.255.255.0","00:50:56:67:99:28","vmservice-vmknic-pg","False","1500",,
"nj2upvcdesx012m.dcsutil.dcsroot.local","vmk4","172.20.99.31","255.255.255.0","00:50:56:6e:4c:88","vxw-vmknicPg-dvs-49-0-a2d5920e-ae32-45ca-b11b-25e42383b38e","False","9000",,
"nj2upvcdesx014m.dcsutil.dcsroot.local","vmnic0","","","00:25:b5:05:a1:15",,,,"True","40000"
"nj2upvcdesx014m.dcsutil.dcsroot.local","vmnic1","","","00:25:b5:05:b1:35",,,,"True","40000"
"nj2upvcdesx014m.dcsutil.dcsroot.local","vmnic2","","","00:25:b5:05:a1:05",,,,"True","40000"
"nj2upvcdesx014m.dcsutil.dcsroot.local","vmnic3","","","00:25:b5:05:b1:25",,,,"True","40000"
"nj2upvcdesx014m.dcsutil.dcsroot.local","vmnic4","","","00:25:b5:05:a1:74",,,,"True","40000"
"nj2upvcdesx014m.dcsutil.dcsroot.local","vmnic5","","","00:25:b5:05:b1:15",,,,"True","40000"
"nj2upvcdesx014m.dcsutil.dcsroot.local","vmnic6","","","00:25:b5:05:a1:35",,,,"True","40000"
"nj2upvcdesx014m.dcsutil.dcsroot.local","vmnic7","","","00:25:b5:05:b1:55",,,,"True","40000"
"nj2upvcdesx014m.dcsutil.dcsroot.local","vmnic8","","","00:25:b5:05:a1:25",,,,"True","40000"
"nj2upvcdesx014m.dcsutil.dcsroot.local","vmk0","10.160.19.58","255.255.255.0","00:25:b5:05:a1:15","Management Network","False","1500",,
